class,generic,english,names
A,里,"inside",6612
A,乡,"country",5711
A,镇,"town",4149
A,縣,"A type of administrative division:",3167
A,尔,"you",2964
A,斯,"this",2581
A,省,"province",2490
A,村,"village",2274
A,道,"path",2261
A,县,"county",2119
A,区,"zone",1836
A,區,"area",1438
A,克,"gram",1416
A,拉,"pull",1314
A,特,"special",1171
A,州,"state",1154
A,市,"market",914
A,德,"virtue",801
A,爾,"you",758
A,夫,"man",673
A,瓦,"tile",642
A,莱,"goosefoot",605
A,埃,"fine dust",568
A,山,"mountain",557
A,雷,"thunder",554
A,纳,"admit",548
A,亚,"Asia",523
A,格,"pattern",515
A,尼,"Buddhist nun",501
A,姆,"child's governess",464
A,诺,"promise",448
A,塞,"stop up",414
A,城,"castle",392
A,勒,"strangle",387
A,亞,"a house",368
A,木,"tree",364
A,府,"prefecture",361
A,内,"inside",359
A,塔,"tower",357
A,西,"west",344
A,路,"road",322
A,河,"river",320
A,安,"peaceful",317
A,罗,"net for catching birds",310
A,恩,"favour",296
A,托,"hold up with palm",288
A,多,"many",283
A,兰,"orchid",279
A,利,"sharp",276
A,庄,"village",276
A,龙,"dragon",259
A,达,"arrive at",257
A,納,"admit",256
A,伊,"third person pronoun",252
A,南,"south",252
A,洛,"river in Shanxi province",246
A,耶,"interrogative particle",246
A,加,"add",244
A,科,"section",243
A,赫,"bright",238
A,朗,"clear",237
A,根,"root",234
A,鎮,"press down",230
A,奥,"mysterious",229
A,鄉,"township",229
A,堡,"fort",218
A,萨,"Buddhist gods or immortals",218
A,阳,"'male' principle",211
A,厄,"adversity",209
A,东,"east",206
A,森,"forest",205
A,蒙,"cover",205
A,桑,"mulberry tree",200
A,热,"hot",196
A,江,"river",194
A,子,"offspring",193
A,戈,"halberd",189
A,茨,"thatching",186
A,泰,"great",185
A,桥,"bridge",181
A,马,"horse",176
A,郡,"administrative division",175
A,盖,"cover",171
A,隆,"prosperous",170
A,卡,"card",170
A,普,"universal",169
A,達,"lead to",168
A,阿,"prefix for people's names",165
A,索,"rope",161
A,林,"forest",159
A,奈,"but",159
A,坦,"flat",157
A,洞,"hole",151
A,湖,"lake",150
A,兴,"thrive",149
A,巴,"greatly desire",149
A,羅,"net for catching birds",144
A,薩,"short for 菩薩／菩萨",140
A,图,"chart",140
A,集,"assemble",140
A,店,"shop",136
A,霍,"quickly",132
A,平,"flat",129
A,希,"rare",127
A,溪,"river",125
A,沃,"water",124
A,韦,"tanned leather",121
A,口,"mouth",121
A,諾,"you",120
A,梅,"plums",119
A,翁,"old man",119
A,代,"generation",117
A,波,"wave",116
A,昂,"rise",113
A,松,"fir tree",112
A,略,"approximately",111
A,兹,"now",108
A,鲁,"foolish",108
