term,why,where,kind
academy,"the place of learning. Drifted from a grove",judged,verdict
ace,"the one",judged,verdict
acoustic,"of hearing",judged,verdict
alarm,"the warning sound",judged,verdict
alto,"the voice range",judged,verdict
analog,"a thing that runs in step with another",judged,verdict
audit,"the formal check of accounts",judged,verdict
aura,"the felt air around a thing",judged,verdict
blank,"empty of marks",judged,verdict
bluff,"the steep bank",judged,verdict
buff,"the pale brown",judged,verdict
bust,"the chest sculpture",judged,verdict
butt,"the thick end",judged,verdict
calculus,"the reckoning of change",judged,verdict
cancer,"the disease. The constellation is a name",judged,verdict
cardinal,"the rank and the number kind",judged,verdict
chuck,"the throw",judged,verdict
clitoris,"the organ. No two words give it without naming something else",judged,verdict
clutch,"the grip",judged,verdict
cobalt,"the metal",judged,verdict
composite,"made of parts that stay visible",judged,verdict
contour,"the outline",judged,verdict
cramp,"the tight seizing of muscle",judged,verdict
crescent,"the thin curved shape. A moon is one",judged,verdict
deck,"the floor of a ship",judged,verdict
discharge,"let out under pressure",judged,verdict
doll,"the small figure of a person",judged,verdict
dump,"to drop in a heap",judged,verdict
episode,"one run of a thing",judged,verdict
ether,"the light solvent",judged,verdict
fiddle,"the instrument and to meddle",judged,verdict
fissure,"the narrow split",judged,verdict
fleet,"the group of ships",judged,verdict
flush,"level with",judged,verdict
flutter,"to move with quick beats",judged,verdict
foil,"the thin sheet",judged,verdict
frank,"open in speech",judged,verdict
fret,"to worry",judged,verdict
gag,"the mouth stopper",judged,verdict
gait,"the way of walking. Drifted from go",judged,verdict
gall,"bile",judged,verdict
graft,"to join living tissue. No parts describe it",judged,verdict
gross,"whole before subtraction",judged,verdict
heave,"to lift with effort",judged,verdict
hitch,"the fastening",judged,verdict
hybrid,"of two stocks",judged,verdict
intermediate,"the middle of a graded three",judged,verdict
iodine,"the element",judged,verdict
iris,"the eye part. The flower is a compound",judged,verdict
jack,"the lifting device and the card",judged,verdict
lap,"the seated thigh",judged,verdict
larynx,"the voice box. No parts describe it",judged,verdict
locus,"the place",judged,verdict
magnesium,"the metal",judged,verdict
major,"a rank and a size",judged,verdict
manganese,"the metal",judged,verdict
molybdenum,"the metal",judged,verdict
mutant,"a thing that came out changed and bred true. Not the act of changing",judged,verdict
nickel,"the metal",judged,verdict
nude,"bare of clothing",judged,verdict
oblique,"slanting",judged,verdict
palate,"the roof of the mouth",judged,verdict
palsy,"the loss of control. Drifted from paralysis",judged,verdict
pat,"the light touch",judged,verdict
pedal,"the foot lever. The adjective is foot + of",judged,verdict
phosphorus,"the element",judged,verdict
phylum,"the rank above class. A rank marker",judged,verdict
ping,"the short high sound",judged,verdict
platinum,"the metal",judged,verdict
plus,"the operator",judged,verdict
posture,"how a body is held. No two words give it",judged,verdict
potassium,"the metal",judged,verdict
primitive,"drifted from prime. A primitive in logic or code is its own idea",judged,verdict
pulp,"soft wet matter",judged,verdict
rag,"torn cloth",judged,verdict
rape,"the crime",judged,verdict
reel,"the spool",judged,verdict
reflex,"an answer without thought",judged,verdict
rig,"to fit out",judged,verdict
scrub,"to rub hard",judged,verdict
seam,"the line where two joins. No parts describe it",judged,verdict
sector,"a part of a circle",judged,verdict
shit,"the waste",judged,verdict
slack,"loose",judged,verdict
slam,"to shut hard",judged,verdict
slough,"the shed skin",judged,verdict
smut,"the sooty mark",judged,verdict
soda,"the salt and the drink",judged,verdict
sodium,"the metal",judged,verdict
spar,"the mast pole",judged,verdict
sphincter,"the ring muscle that closes",judged,verdict
stall,"the stand",judged,verdict
streak,"a long mark",judged,verdict
stud,"the projecting pin",judged,verdict
stump,"what stays rooted after a cut. Not simply a short rest",judged,verdict
surf,"the breaking wave",judged,verdict
tack,"the small nail",judged,verdict
talc,"the soft mineral",judged,verdict
tan,"the colour and the treatment of hide",judged,verdict
tang,"the sharp taste",judged,verdict
tar,"the black pitch",judged,verdict
thrush,"the bird",judged,verdict
toll,"a charge for passage",judged,verdict
tract,"a stretch",judged,verdict
transit,"the passing across",judged,verdict
tuck,"to fold in",judged,verdict
tug,"to pull hard",judged,verdict
turkey,"the bird. The country is the proper-name mechanism",judged,verdict
ulcer,"the open sore",judged,verdict
vagina,"the passage. No parts describe it",judged,verdict
veil,"the thin cover over the face",judged,verdict
violet,"the colour and the flower",judged,verdict
ward,"the guarded division",judged,verdict
warp,"the lengthwise thread",judged,verdict
welfare,"how well a people are kept. Not the sum of well and fare",judged,verdict
whiff,"the light breath of smell",judged,verdict
zap,"the sharp strike",judged,verdict
zinc,"the metal",judged,verdict
