source,from,gloss,word,note
qi,chinese,"life energy, the breath that moves things",,"xiq is will, xik no_taboo, xim is speech"
yin,chinese,"the dark, receiving, inward side of a pair",yim,"yin is north"
yang,chinese,"the bright, giving, outward side of a pair",yak,"yaq is permanent"
tao,chinese,"the way a thing goes when nothing forces it",,"daw no_weak_close, tow no_weak_close, taw no_weak_close"
zen,japanese,"sitting awake with nothing added",zen,""
kami,japanese,"a spirit that lives in a place or thing",,"kam is calm, kab is receive, kaf is cough"
karma,sanskrit,"an act and what it brings back",,"karm known_coda, kams known_coda, kamz known_coda"
dharma,sanskrit,"the way a thing ought to act, given what it is",,"darm known_coda, dam is morality, daf is orange"
prana,sanskrit,"breath as the carrier of life",pran,""
chakra,sanskrit,"a turning centre in the body",xak,""
maya,sanskrit,"the world taken for more solid than it is",,"may no_weak_close, maz is flow (speech utterance), mays known_coda"
moksha,sanskrit,"being let out of the round of return",moks,"mok is align"
samsara,sanskrit,"the round of return itself",,"sams known_coda, samz known_coda, sam is sound"
atman,sanskrit,"the self that is not the person",,"tam is meditate, tamn known_coda, hatm known_coda"
nirvana,sanskrit,"a fire going out, and the quiet after",niv,""
mantra,sanskrit,"a sound said until it works on the sayer",mant,""
guru,sanskrit,"one who carries a lineage and hands it on",,"guh no_weak_close, gus is back (front), guz is lose"
mana,polynesian,"power a person or thing holds by standing",mand,"man is mind"
logos,greek,"the ordering word under a thing",logz,"log is permute"
psyche,greek,"the breathing soul, the part that suffers",,"sik is seek, psik known_onset, syk bad_shape"
eros,greek,"wanting, as a force rather than a feeling",hos,"ros is force"
agape,greek,"love that asks for nothing back",gap,""
sophia,greek,"wisdom as a thing in the world, not in a head",sov,"sof is each"
ka,egyptian,"the double that outlives the body",kas,""
ruach,hebrew,"wind, breath and spirit as one word",rux,"ruk is location, ruh no_weak_close"
sefira,hebrew,"one station on a ladder of becoming",,"sef is continue, sev is save, sefr known_coda"
baraka,arabic,"blessing that settles on a place or a person",bark,""
wu wei,chinese,"acting by not forcing",wub,"wuw no_weak_close, wuy no_weak_close"
